ID;M(R);M(G);M(B);DP(R);DP(G);DP(B)
1;31;45;19;1.5690104166666667;1.8035783179012346;1.37109375
2;38;57;23;1.8295235339506173;2.259403935185185;1.474488811728395
3;37;53;18;1.8328510802469136;2.205005787037037;1.3161168981481481
4;47;57;22;1.9240933641975309;2.05054012345679;1.4923321759259258
5;44;57;23;1.619550540123457;1.7739679783950617;1.4978780864197532
6;42;38;19;1.624903549382716;1.3600501543209877;1.4163773148148149
7;44;51;19;1.6507523148148149;1.6203703703703705;1.4086612654320987
8;49;52;20;1.6964699074074074;1.9142554012345678;1.3605806327160495
9;58;50;21;1.9599729938271604;2.1673418209876543;1.4085165895061729
10;58;54;26;2.0479359567901234;2.2237654320987654;1.435522762345679
11;30;33;12;1.404706790123457;1.3213734567901234;1.1437596450617284
12;26;26;11;1.3903356481481481;1.3322241512345678;0.9523533950617284
13;77;77;51;2.611207561728395;2.3833429783950617;2.3759162808641974
14;76;82;59;2.7295524691358026;2.798996913580247;2.6753954475308643
15;36;44;27;1.7705439814814814;1.4972993827160495;1.7337962962962963
16;63;71;41;2.2962962962962963;2.350115740740741;2.0207851080246915
17;56;47;31;1.9366801697530864;1.880449459876543;1.5954861111111112
18;74;69;39;2.162471064814815;2.0305748456790123;1.7708815586419753
19;67;83;37;1.829957561728395;1.7808641975308641;1.781201774691358
20;55;81;25;1.414014274691358;1.3611593364197532;1.4091435185185186
21;36;55;22;1.7096836419753085;1.7728105709876543;1.4603587962962963
22;27;45;22;1.4479648919753085;1.8226273148148149;1.4155574845679013
23;45;52;22;2.0518904320987654;2.3721547067901234;1.5010127314814814
24;56;59;23;2.212432484567901;2.30883487654321;1.5753761574074074
25;47;73;29;1.7979841820987654;2.174141589506173;1.7583912037037037
26;54;60;26;1.7972125771604939;1.8972800925925926;1.5223283179012346
27;67;49;30;2.3859471450617282;1.9695216049382716;1.5337577160493827
28;69;49;29;2.490403163580247;1.9204764660493827;1.7132040895061729
29;107;70;49;3.281394675925926;2.7076581790123457;2.2526041666666665
30;87;55;46;3.220679012345679;2.515769675925926;2.224826388888889
31;53;45;30;1.8822820216049383;1.6567322530864197;1.7313850308641976
32;38;41;25;1.7384259259259258;1.6148726851851851;1.524980709876543
33;59;56;42;2.1765528549382718;1.899980709876543;2.199363425925926
34;85;81;80;1.8777970679012346;2.19921875;2.518132716049383
35;84;75;84;1.7200038580246915;2.158082561728395;2.5111882716049383
36;73;64;66;2.109375;2.0246431327160495;2.3627989969135803
37;63;61;33;2.184992283950617;2.1614583333333335;1.8069058641975309
38;55;65;33;1.863377700617284;1.8916377314814814;1.6338252314814814
39;61;77;36;1.7719425154320987;1.705005787037037;1.7172550154320987
40;53;82;28;1.4500868055555556;1.3831018518518519;1.4763695987654322
41;40;59;24;1.7153260030864197;1.9469039351851851;1.5108989197530864
42;33;59;29;1.617235725308642;1.9334008487654322;1.6045524691358024
43;21;33;16;1.2903163580246915;1.4048514660493827;1.1325713734567902
44;72;61;29;2.58227237654321;2.232156635802469;1.7762345679012346
45;68;74;32;2.0872395833333335;2.174045138888889;1.788966049382716
46;80;71;36;2.419849537037037;1.9460841049382716;1.7883391203703705
47;112;95;44;2.9306037808641974;2.6787712191358026;2.1378761574074074
48;104;84;48;2.739920910493827;2.5279224537037037;2.113136574074074
49;94;66;47;2.6237461419753085;2.357494212962963;1.9196084104938271
50;87;55;46;2.9640721450617282;2.3623167438271606;2.0654899691358026
51;75;48;35;2.6532118055555554;1.7457079475308641;1.6096161265432098
52;43;43;23;1.8146701388888888;1.4331114969135803;1.3927469135802468
53;75;63;45;2.5225694444444446;2.1714409722222223;2.0621141975308643
